plane,u,v,MB,hex_x,hex_y
3,3,1,1,"[-48.79523333333333, -40.473193333333334, -32.15115333333333, -32.15115333333333, -40.473193333333334, -48.79523333333333]","[10.296658113067963, 5.49192607886113, 10.296658113067963, 19.90612218148163, 24.710854215688464, 19.90612218148163]"
3,3,2,2,"[-40.42319333333333, -32.101153333333336, -23.779113333333335, -23.779113333333335, -32.101153333333336, -40.42319333333333]","[24.797456756066904, 19.99272472186007, 24.797456756066904, 34.40692082448057, 39.21165285868741, 34.40692082448057]"
3,3,3,100,"[-32.05115333333333, -23.729113333333334, -15.407073333333337, -15.407073333333337, -23.729113333333334, -32.05115333333333]","[39.29825539906585, 34.49352336485902, 39.29825539906585, 48.907719467479524, 53.71245150168635, 48.907719467479524]"
3,3,4,101,"[-23.679113333333333, -15.357073333333334, -7.035033333333335, -7.035033333333335, -15.357073333333334, -23.679113333333333]","[53.79905404206479, 48.99432200785796, 53.79905404206479, 63.40851811047846, 68.21325014468529, 63.40851811047846]"
3,3,5,103,"[-15.307073333333333, -6.985033333333334, 1.3370066666666656, 1.3370066666666656, -6.985033333333334, -15.307073333333333]","[68.29985268506373, 63.4951206508569, 68.29985268506373, 77.9093167534774, 82.71404878768423, 77.9093167534774]"
3,3,6,111,"[-6.935033333333333, 1.3870066666666667, 9.709046666666666, 9.709046666666666, 1.3870066666666667, -6.935033333333333]","[82.80065132806268, 77.99591929385585, 82.80065132806268, 92.41011539647636, 97.2148474306832, 92.41011539647636]"
3,3,7,111,"[1.437006666666667, 9.759046666666666, 18.081086666666664, 18.081086666666664, 9.759046666666666, 1.437006666666667]","[97.30144997106163, 92.4967179368548, 97.30144997106163, 106.9109140394753, 111.71564607368214, 106.9109140394753]"
3,3,8,112,"[9.809046666666667, 18.13108666666667, 26.453126666666666, 26.453126666666666, 18.13108666666667, 9.809046666666667]","[111.80224861406056, 106.99751657985372, 111.80224861406056, 121.41171268247423, 126.21644471668107, 121.41171268247423]"
3,3,9,112,"[18.18108666666667, 26.50312666666667, 34.82516666666667, 34.82516666666667, 26.50312666666667, 18.18108666666667]","[126.30304725705949, 121.49831522285265, 126.30304725705949, 135.91251132547316, 140.71724335968, 135.91251132547316]"
3,3,10,112,"[26.553126666666667, 34.875166666666665, 43.197206666666666, 43.197206666666666, 34.875166666666665, 26.553126666666667]","[140.80384590005843, 135.9991138658516, 140.80384590005843, 150.4133099684721, 155.21804200267894, 150.4133099684721]"
3,4,0,0,"[-73.91135333333334, -65.58931333333334, -57.267273333333335, -57.267273333333335, -65.58931333333334, -73.91135333333334]","[-4.204140529930981, -9.008872564137812, -4.204140529930981, 5.40532353848269, 10.210055572689521, 5.40532353848269]"
3,4,1,1,"[-65.53931333333334, -57.21727333333334, -48.89523333333334, -48.89523333333334, -57.21727333333334, -65.53931333333334]","[10.296658113067963, 5.49192607886113, 10.296658113067963, 19.90612218148163, 24.710854215688464, 19.90612218148163]"
3,4,2,3,"[-57.16727333333334, -48.84523333333334, -40.52319333333334, -40.52319333333334, -48.84523333333334, -57.16727333333334]","[24.797456756066904, 19.99272472186007, 24.797456756066904, 34.40692082448057, 39.21165285868741, 34.40692082448057]"
3,4,3,2,"[-48.79523333333333, -40.473193333333334, -32.15115333333333, -32.15115333333333, -40.473193333333334, -48.79523333333333]","[39.29825539906585, 34.49352336485902, 39.29825539906585, 48.907719467479524, 53.71245150168635, 48.907719467479524]"
3,4,4,100,"[-40.42319333333333, -32.101153333333336, -23.779113333333335, -23.779113333333335, -32.101153333333336, -40.42319333333333]","[53.79905404206479, 48.99432200785796, 53.79905404206479, 63.40851811047846, 68.21325014468529, 63.40851811047846]"
3,4,5,101,"[-32.05115333333333, -23.729113333333334, -15.407073333333337, -15.407073333333337, -23.729113333333334, -32.05115333333333]","[68.29985268506373, 63.4951206508569, 68.29985268506373, 77.9093167534774, 82.71404878768423, 77.9093167534774]"
3,4,6,106,"[-23.679113333333333, -15.357073333333334, -7.035033333333335, -7.035033333333335, -15.357073333333334, -23.679113333333333]","[82.80065132806268, 77.99591929385585, 82.80065132806268, 92.41011539647636, 97.2148474306832, 92.41011539647636]"
3,4,7,109,"[-15.307073333333333, -6.985033333333334, 1.3370066666666656, 1.3370066666666656, -6.985033333333334, -15.307073333333333]","[97.30144997106163, 92.4967179368548, 97.30144997106163, 106.9109140394753, 111.71564607368214, 106.9109140394753]"
3,4,8,110,"[-6.935033333333333, 1.3870066666666667, 9.709046666666666, 9.709046666666666, 1.3870066666666667, -6.935033333333333]","[111.80224861406056, 106.99751657985372, 111.80224861406056, 121.41171268247423, 126.21644471668107, 121.41171268247423]"
3,4,9,110,"[1.437006666666667, 9.759046666666666, 18.081086666666664, 18.081086666666664, 9.759046666666666, 1.437006666666667]","[126.30304725705949, 121.49831522285265, 126.30304725705949, 135.91251132547316, 140.71724335968, 135.91251132547316]"
3,4,10,112,"[9.809046666666667, 18.13108666666667, 26.453126666666666, 26.453126666666666, 18.13108666666667, 9.809046666666667]","[140.80384590005843, 135.9991138658516, 140.80384590005843, 150.4133099684721, 155.21804200267894, 150.4133099684721]"
3,5,0,8,"[-90.65543333333333, -82.33339333333333, -74.01135333333333, -74.01135333333333, -82.33339333333333, -90.65543333333333]","[-4.204140529930981, -9.008872564137812, -4.204140529930981, 5.40532353848269, 10.210055572689521, 5.40532353848269]"
3,5,1,1,"[-82.28339333333334, -73.96135333333334, -65.63931333333333, -65.63931333333333, -73.96135333333334, -82.28339333333334]","[10.296658113067963, 5.49192607886113, 10.296658113067963, 19.90612218148163, 24.710854215688464, 19.90612218148163]"
3,5,2,3,"[-73.91135333333334, -65.58931333333334, -57.267273333333335, -57.267273333333335, -65.58931333333334, -73.91135333333334]","[24.797456756066904, 19.99272472186007, 24.797456756066904, 34.40692082448057, 39.21165285868741, 34.40692082448057]"
3,5,3,3,"[-65.53931333333334, -57.21727333333334, -48.89523333333334, -48.89523333333334, -57.21727333333334, -65.53931333333334]","[39.29825539906585, 34.49352336485902, 39.29825539906585, 48.907719467479524, 53.71245150168635, 48.907719467479524]"
3,5,4,2,"[-57.16727333333334, -48.84523333333334, -40.52319333333334, -40.52319333333334, -48.84523333333334, -57.16727333333334]","[53.79905404206479, 48.99432200785796, 53.79905404206479, 63.40851811047846, 68.21325014468529, 63.40851811047846]"
3,5,5,108,"[-48.79523333333333, -40.473193333333334, -32.15115333333333, -32.15115333333333, -40.473193333333334, -48.79523333333333]","[68.29985268506373, 63.4951206508569, 68.29985268506373, 77.9093167534774, 82.71404878768423, 77.9093167534774]"
3,5,6,107,"[-40.42319333333333, -32.101153333333336, -23.779113333333335, -23.779113333333335, -32.101153333333336, -40.42319333333333]","[82.80065132806268, 77.99591929385585, 82.80065132806268, 92.41011539647636, 97.2148474306832, 92.41011539647636]"
3,5,7,106,"[-32.05115333333333, -23.729113333333334, -15.407073333333337, -15.407073333333337, -23.729113333333334, -32.05115333333333]","[97.30144997106163, 92.4967179368548, 97.30144997106163, 106.9109140394753, 111.71564607368214, 106.9109140394753]"
3,5,8,109,"[-23.679113333333333, -15.357073333333334, -7.035033333333335, -7.035033333333335, -15.357073333333334, -23.679113333333333]","[111.80224861406056, 106.99751657985372, 111.80224861406056, 121.41171268247423, 126.21644471668107, 121.41171268247423]"
3,5,9,110,"[-15.307073333333333, -6.985033333333334, 1.3370066666666656, 1.3370066666666656, -6.985033333333334, -15.307073333333333]","[126.30304725705949, 121.49831522285265, 126.30304725705949, 135.91251132547316, 140.71724335968, 135.91251132547316]"
3,5,10,110,"[-6.935033333333333, 1.3870066666666667, 9.709046666666666, 9.709046666666666, 1.3870066666666667, -6.935033333333333]","[140.80384590005843, 135.9991138658516, 140.80384590005843, 150.4133099684721, 155.21804200267894, 150.4133099684721]"
3,6,0,8,"[-107.39951333333335, -99.07747333333334, -90.75543333333334, -90.75543333333334, -99.07747333333334, -107.39951333333335]","[-4.204140529930981, -9.008872564137812, -4.204140529930981, 5.40532353848269, 10.210055572689521, 5.40532353848269]"
3,6,1,7,"[-99.02747333333333, -90.70543333333333, -82.38339333333333, -82.38339333333333, -90.70543333333333, -99.02747333333333]","[10.296658113067963, 5.49192607886113, 10.296658113067963, 19.90612218148163, 24.710854215688464, 19.90612218148163]"
3,6,2,6,"[-90.65543333333333, -82.33339333333333, -74.01135333333333, -74.01135333333333, -82.33339333333333, -90.65543333333333]","[24.797456756066904, 19.99272472186007, 24.797456756066904, 34.40692082448057, 39.21165285868741, 34.40692082448057]"
3,6,3,11,"[-82.28339333333334, -73.96135333333334, -65.63931333333333, -65.63931333333333, -73.96135333333334, -82.28339333333334]","[39.29825539906585, 34.49352336485902, 39.29825539906585, 48.907719467479524, 53.71245150168635, 48.907719467479524]"
3,6,4,5,"[-73.91135333333334, -65.58931333333334, -57.267273333333335, -57.267273333333335, -65.58931333333334, -73.91135333333334]","[53.79905404206479, 48.99432200785796, 53.79905404206479, 63.40851811047846, 68.21325014468529, 63.40851811047846]"
3,6,5,4,"[-65.53931333333334, -57.21727333333334, -48.89523333333334, -48.89523333333334, -57.21727333333334, -65.53931333333334]","[68.29985268506373, 63.4951206508569, 68.29985268506373, 77.9093167534774, 82.71404878768423, 77.9093167534774]"
3,6,6,108,"[-57.16727333333334, -48.84523333333334, -40.52319333333334, -40.52319333333334, -48.84523333333334, -57.16727333333334]","[82.80065132806268, 77.99591929385585, 82.80065132806268, 92.41011539647636, 97.2148474306832, 92.41011539647636]"
3,6,7,107,"[-48.79523333333333, -40.473193333333334, -32.15115333333333, -32.15115333333333, -40.473193333333334, -48.79523333333333]","[97.30144997106163, 92.4967179368548, 97.30144997106163, 106.9109140394753, 111.71564607368214, 106.9109140394753]"
3,6,8,106,"[-40.42319333333333, -32.101153333333336, -23.779113333333335, -23.779113333333335, -32.101153333333336, -40.42319333333333]","[111.80224861406056, 106.99751657985372, 111.80224861406056, 121.41171268247423, 126.21644471668107, 121.41171268247423]"
3,6,9,109,"[-32.05115333333333, -23.729113333333334, -15.407073333333337, -15.407073333333337, -23.729113333333334, -32.05115333333333]","[126.30304725705949, 121.49831522285265, 126.30304725705949, 135.91251132547316, 140.71724335968, 135.91251132547316]"
3,6,10,110,"[-23.679113333333333, -15.357073333333334, -7.035033333333335, -7.035033333333335, -15.357073333333334, -23.679113333333333]","[140.80384590005843, 135.9991138658516, 140.80384590005843, 150.4133099684721, 155.21804200267894, 150.4133099684721]"
3,7,0,13,"[-124.14359333333334, -115.82155333333334, -107.49951333333334, -107.49951333333334, -115.82155333333334, -124.14359333333334]","[-4.204140529930981, -9.008872564137812, -4.204140529930981, 5.40532353848269, 10.210055572689521, 5.40532353848269]"
3,7,1,7,"[-115.77155333333334, -107.44951333333334, -99.12747333333334, -99.12747333333334, -107.44951333333334, -115.77155333333334]","[10.296658113067963, 5.49192607886113, 10.296658113067963, 19.90612218148163, 24.710854215688464, 19.90612218148163]"
3,7,2,6,"[-107.39951333333335, -99.07747333333334, -90.75543333333334, -90.75543333333334, -99.07747333333334, -107.39951333333335]","[24.797456756066904, 19.99272472186007, 24.797456756066904, 34.40692082448057, 39.21165285868741, 34.40692082448057]"
3,7,3,9,"[-99.02747333333333, -90.70543333333333, -82.38339333333333, -82.38339333333333, -90.70543333333333, -99.02747333333333]","[39.29825539906585, 34.49352336485902, 39.29825539906585, 48.907719467479524, 53.71245150168635, 48.907719467479524]"
3,7,4,11,"[-90.65543333333333, -82.33339333333333, -74.01135333333333, -74.01135333333333, -82.33339333333333, -90.65543333333333]","[53.79905404206479, 48.99432200785796, 53.79905404206479, 63.40851811047846, 68.21325014468529, 63.40851811047846]"
3,7,5,5,"[-82.28339333333334, -73.96135333333334, -65.63931333333333, -65.63931333333333, -73.96135333333334, -82.28339333333334]","[68.29985268506373, 63.4951206508569, 68.29985268506373, 77.9093167534774, 82.71404878768423, 77.9093167534774]"
3,7,6,4,"[-73.91135333333334, -65.58931333333334, -57.267273333333335, -57.267273333333335, -65.58931333333334, -73.91135333333334]","[82.80065132806268, 77.99591929385585, 82.80065132806268, 92.41011539647636, 97.2148474306832, 92.41011539647636]"
3,7,7,113,"[-65.53931333333334, -57.21727333333334, -48.89523333333334, -48.89523333333334, -57.21727333333334, -65.53931333333334]","[97.30144997106163, 92.4967179368548, 97.30144997106163, 106.9109140394753, 111.71564607368214, 106.9109140394753]"
3,7,8,107,"[-57.16727333333334, -48.84523333333334, -40.52319333333334, -40.52319333333334, -48.84523333333334, -57.16727333333334]","[111.80224861406056, 106.99751657985372, 111.80224861406056, 121.41171268247423, 126.21644471668107, 121.41171268247423]"
3,7,9,106,"[-48.79523333333333, -40.473193333333334, -32.15115333333333, -32.15115333333333, -40.473193333333334, -48.79523333333333]","[126.30304725705949, 121.49831522285265, 126.30304725705949, 135.91251132547316, 140.71724335968, 135.91251132547316]"
3,7,10,109,"[-40.42319333333333, -32.101153333333336, -23.779113333333335, -23.779113333333335, -32.101153333333336, -40.42319333333333]","[140.80384590005843, 135.9991138658516, 140.80384590005843, 150.4133099684721, 155.21804200267894, 150.4133099684721]"
3,8,0,13,"[-140.88767333333334, -132.56563333333332, -124.24359333333334, -124.24359333333334, -132.56563333333332, -140.88767333333334]","[-4.204140529930981, -9.008872564137812, -4.204140529930981, 5.40532353848269, 10.210055572689521, 5.40532353848269]"
3,8,1,7,"[-132.51563333333334, -124.19359333333334, -115.87155333333334, -115.87155333333334, -124.19359333333334, -132.51563333333334]","[10.296658113067963, 5.49192607886113, 10.296658113067963, 19.90612218148163, 24.710854215688464, 19.90612218148163]"
3,8,2,6,"[-124.14359333333334, -115.82155333333334, -107.49951333333334, -107.49951333333334, -115.82155333333334, -124.14359333333334]","[24.797456756066904, 19.99272472186007, 24.797456756066904, 34.40692082448057, 39.21165285868741, 34.40692082448057]"
3,8,3,9,"[-115.77155333333334, -107.44951333333334, -99.12747333333334, -99.12747333333334, -107.44951333333334, -115.77155333333334]","[39.29825539906585, 34.49352336485902, 39.29825539906585, 48.907719467479524, 53.71245150168635, 48.907719467479524]"
3,8,4,10,"[-107.39951333333335, -99.07747333333334, -90.75543333333334, -90.75543333333334, -99.07747333333334, -107.39951333333335]","[53.79905404206479, 48.99432200785796, 53.79905404206479, 63.40851811047846, 68.21325014468529, 63.40851811047846]"
3,8,5,12,"[-99.02747333333333, -90.70543333333333, -82.38339333333333, -82.38339333333333, -90.70543333333333, -99.02747333333333]","[68.29985268506373, 63.4951206508569, 68.29985268506373, 77.9093167534774, 82.71404878768423, 77.9093167534774]"
3,8,6,5,"[-90.65543333333333, -82.33339333333333, -74.01135333333333, -74.01135333333333, -82.33339333333333, -90.65543333333333]","[82.80065132806268, 77.99591929385585, 82.80065132806268, 92.41011539647636, 97.2148474306832, 92.41011539647636]"
3,8,7,4,"[-82.28339333333334, -73.96135333333334, -65.63931333333333, -65.63931333333333, -73.96135333333334, -82.28339333333334]","[97.30144997106163, 92.4967179368548, 97.30144997106163, 106.9109140394753, 111.71564607368214, 106.9109140394753]"
3,8,8,113,"[-73.91135333333334, -65.58931333333334, -57.267273333333335, -57.267273333333335, -65.58931333333334, -73.91135333333334]","[111.80224861406056, 106.99751657985372, 111.80224861406056, 121.41171268247423, 126.21644471668107, 121.41171268247423]"
3,8,9,107,"[-65.53931333333334, -57.21727333333334, -48.89523333333334, -48.89523333333334, -57.21727333333334, -65.53931333333334]","[126.30304725705949, 121.49831522285265, 126.30304725705949, 135.91251132547316, 140.71724335968, 135.91251132547316]"
